Key,en,es,ar,fr
You trying to reset your password,You trying to reset your password,Estás intentando restablecer tu contraseña,أنت تحاول إعادة تعيين كلمة المرور الخاصة بك,Vous essayez de réinitialiser votre mot de passe
Here is your OTP,Here is your OTP,Aquí está tu OTP,هنا هو مكتب المدعي العام الخاص بك,Voici votre OTP
Verification Code ( Register ),Verification Code ( Register ),Código de verificación (Registrarse),رمز التحقق ( التسجيل ),Code de vérification (registre)
You are trying to verify code for register.,You are trying to verify code for register.,Estás intentando verificar el código para registrarte.,أنت تحاول التحقق من الرمز للتسجيل.,Vous essayez de vérifier le code pour vous inscrire.
Sender Money In Email Heading,"Your Money In Request Send Successfully, Details Of Money In","Su solicitud de dinero ingresado se envió correctamente, detalles del dinero ingresado",تم إرسال أموالك المطلوبة بنجاح، تفاصيل الأموال الواردة,"Votre argent demandé envoyé avec succès, détails de l'argent reçu"
Receiver Money In Email Heading,"You Got Received Money Successfully, Details Of Money In","Recibió el dinero con éxito, detalles del dinero ingresado",لقد استلمت الأموال بنجاح، تفاصيل الأموال الواردة,"Vous avez reçu de l'argent avec succès, détails de l'argent reçu"
"Send Remittance successful, details of Send Remittance","Send Remittance successful, details of Send Remittance","Envío de remesa exitoso, detalles de Envío de remesa",تم إرسال الحوالة بنجاح، تفاصيل إرسال الحوالة,"Envoi de paiement réussi, détails de l'envoi de paiement"
Admin Approved Your Add Money Request via,Admin Approved Your Add Money Request via,El administrador aprobó su solicitud para agregar dinero a través de,وافق المشرف على طلب إضافة الأموال الخاص بك عبر,L'administrateur a approuvé votre demande d'ajout d'argent via
"Admin Approved Your Remittance Request, Details Of Send Remittance","Admin Approved Your Remittance Request, Details Of Send Remittance","El administrador aprobó su solicitud de remesa, detalles del envío de remesa",وافق المشرف على طلب التحويل الخاص بك، وتفاصيل إرسال التحويلات,"L'administrateur a approuvé votre demande de versement, les détails de l'envoi du versement"
"Admin Rejected Your Remittance Request,Details Of Send Remittance","Admin Rejected Your Remittance Request,Details Of Send Remittance","El administrador rechazó su solicitud de remesa, detalles del envío de remesa",رفض المشرف طلب التحويل الخاص بك، تفاصيل إرسال التحويلات,"L'administrateur a rejeté votre demande de versement, détails de l'envoi du versement"
Admin Rejected Your Add Money Request Via,Admin Rejected Your Add Money Request Via,El administrador rechazó su solicitud para agregar dinero a través de,رفض المشرف طلب إضافة أموال عبر,L'administrateur a rejeté votre demande d'ajout d'argent via
Admin approved your withdraw money request,Admin approved your withdraw money request,El administrador aprobó su solicitud de retiro de dinero,وافق المشرف على طلب سحب الأموال الخاص بك,L'administrateur a approuvé votre demande de retrait d'argent
Admin rejected your withdraw money request,Admin rejected your withdraw money request,El administrador rechazó su solicitud de retiro de dinero,رفض المشرف طلب سحب الأموال الخاص بك,L'administrateur a rejeté votre demande de retrait d'argent
Admin approved your bill pay request,Admin approved your bill pay request,El administrador aprobó su solicitud de pago de factura,وافق المشرف على طلب دفع الفاتورة الخاصة بك,L'administrateur a approuvé votre demande de paiement de facture
Admin rejected your bill pay request,Admin rejected your bill pay request,El administrador rechazó su solicitud de pago de factura,رفض المشرف طلب دفع الفاتورة الخاص بك,L'administrateur a rejeté votre demande de paiement de facture
Admin approved your mobile top up request,Admin approved your mobile top up request,El administrador aprobó su solicitud de recarga móvil,وافق المشرف على طلب تعبئة رصيد هاتفك المحمول,L'administrateur a approuvé votre demande de recharge mobile
Your KYC verification request is approved by admin,Your KYC verification request is approved by admin,Su solicitud de verificación KYC es aprobada por el administrador,تمت الموافقة على طلب التحقق من KYC الخاص بك من قبل المشرف,Votre demande de vérification KYC est approuvée par l'administrateur
Your KYC verification request is rejected by admin,Your KYC verification request is rejected by admin,El administrador rechaza su solicitud de verificación KYC,تم رفض طلب التحقق من KYC الخاص بك من قبل المشرف,Votre demande de vérification KYC est rejetée par l'administrateur
Hey,Hey,Ey,يا,Hé
Google 2FA,Google 2FA,2FA de Google,جوجل 2FA,Google 2FA
2FA Authentication,2FA Authentication,Autenticación 2FA,مصادقة 2FA,Authentification 2FA
2FA Settings,2FA Settings,Configuración 2FA,إعدادات 2FA,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل عامل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين عامل المصادقة الثنائية,Activer l'authentificateur à deux facteurs
Copied,Copied,Copiado,نسخ,Copié
Please Verify 2FA Authentication,Please Verify 2FA Authentication,Verifique la autenticación 2FA,يرجى التحقق من مصادقة 2FA,Veuillez vérifier l'authentification 2FA
Authentication Code,Authentication Code,Código de autenticación,رمز الدخول,code d'identification
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel",إذا كان هناك خطأ ما في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك لتتمكن من الوصول إلى لوحة المعلومات,"En cas de problème avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord."
Bill Pay Method,Bill Pay Method,Método de pago de facturas,طريقة دفع الفاتورة,Méthode de paiement des factures
Method Already Exists!,Method Already Exists!,¡El método ya existe!,الطريقة موجودة بالفعل!,La méthode existe déjà !
Method Saved Successfully!,Method Saved Successfully!,¡Método guardado con éxito!,تم حفظ الطريقة بنجاح!,Méthode enregistrée avec succès !
Method Updated Successfully!,Method Updated Successfully!,¡Método actualizado con éxito!,تم تحديث الطريقة بنجاح!,Méthode mise à jour avec succès !
Method record not found in our system.,Method record not found in our system.,Registro de método no encontrado en nuestro sistema.,لم يتم العثور على سجل الطريقة في نظامنا.,Enregistrement de méthode introuvable dans notre système.
Method status updated successfully!,Method status updated successfully!,¡El estado del método se actualizó exitosamente!,تم تحديث حالة الطريقة بنجاح!,Statut de la méthode mis à jour avec succès !
Method deleted successfully!,Method deleted successfully!,¡Método eliminado exitosamente!,تم حذف الطريقة بنجاح!,Méthode supprimée avec succès !
Setup Bill Pay Method,Setup Bill Pay Method,Configurar el método de pago de facturas,إعداد طريقة دفع الفاتورة,Configurer la méthode de paiement des factures
Add Method,Add Method,Agregar método,إضافة طريقة,Ajouter une méthode
Method Name,Method Name,Nombre del método,اسم الطريقة,Nom de la méthode
delete_text,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف,Êtes-vous sûr de vouloir supprimer
Edit Method,Edit Method,Editar método,طريقة التحرير,Modifier la méthode
Add New Method,Add New Method,Agregar nuevo método,إضافة طريقة جديدة,Ajouter une nouvelle méthode
Setup Bill Pay Api,Setup Bill Pay Api,Configurar API de pago de facturas,إعداد فاتورة الدفع API,Configurer l'API de paiement de factures
Bill Pay API Has Been Updated.,Bill Pay API Has Been Updated.,La API de pago de facturas se ha actualizado.,تم تحديث واجهة برمجة تطبيقات Bill Pay.,L'API Bill Pay a été mise à jour.
Bill pay successful,Bill pay successful,Pago de factura exitoso,تم دفع الفاتورة بنجاح,Paiement de facture réussi
Bill Month,Bill Month,Mes de factura,شهر الفاتورة,Mois de facturation
Bill Pay Request Is Approved,Bill Pay Request Is Approved,Se aprueba la solicitud de pago de facturas,تمت الموافقة على طلب دفع الفاتورة,La demande de paiement de facture est approuvée
Bill pay rejected,Bill pay rejected,Pago de factura rechazado,تم رفض دفع الفاتورة,Paiement de facture rejeté
Processing,Processing,Procesando,يعالج,Traitement
Bill payment already taken for,Bill payment already taken for,Pago de factura ya realizado para,تم بالفعل دفع الفاتورة,Paiement de facture déjà pris pour
Bill Pay Request Successful,Bill Pay Request Successful,Solicitud de pago de factura exitosa,نجح طلب دفع الفاتورة,Demande de paiement de facture réussie
Processing Logs,Processing Logs,Registros de procesamiento,معالجة السجلات,Journaux de traitement
Mobile TopUp Method,Mobile TopUp Method,Método de recarga móvil,طريقة تعبئة رصيد الجوال,Méthode de recharge mobile
Setup Mobile Topup Method,Setup Mobile Topup Method,Configurar el método de recarga móvil,إعداد طريقة شحن رصيد الهاتف المحمول,Configurer la méthode de recharge mobile
Mobile TopUp API Has Been Updated.,Mobile TopUp API Has Been Updated.,Se ha actualizado la API de recarga móvil.,تم تحديث Mobile TopUp API.,L'API Mobile TopUp a été mise à jour.
Operator Name,Operator Name,Nombre del operador,اسم المشغل,Nom de l'opérateur
Detecting Operator,Detecting Operator,Operador de detección,عامل كشف,Opérateur de détection
Just a seconds.,Just a seconds.,Sólo unos segundos.,مجرد ثواني.,Juste une seconde.
We're getting few things from space...,We're getting few things from space...,Estamos recibiendo pocas cosas del espacio...,نحن نحصل على القليل من الأشياء من الفضاء,Nous recevons peu de choses de l'espace...
